iter	Passed	Remaining
0	3	3462
1	6	3420
2	9	3105
3	12	3038
4	15	3027
5	17	2820
6	18	2691
7	22	2777
8	24	2718
9	27	2686
10	29	2672
11	32	2663
12	34	2596
13	36	2584
14	38	2533
15	40	2512
16	43	2492
17	45	2484
18	48	2479
19	49	2429
20	52	2448
21	54	2436
22	57	2445
23	59	2406
24	62	2430
25	65	2438
26	67	2433
27	70	2440
28	72	2436
29	75	2445
30	78	2453
31	80	2437
32	83	2452
33	86	2450
34	88	2442
35	92	2471
36	94	2466
37	97	2468
38	100	2476
39	104	2496
40	105	2461
41	106	2425
42	108	2421
43	112	2436
44	114	2436
45	117	2441
46	119	2417
47	122	2422
48	123	2392
49	126	2398
50	128	2391
51	131	2391
52	133	2393
53	136	2392
54	138	2387
55	142	2397
56	144	2396
57	146	2383
58	149	2384
59	151	2381
60	155	2386
61	157	2383
62	160	2381
63	162	2377
64	165	2374
65	167	2372
66	170	2378
67	172	2362
68	175	2368
69	178	2376
70	181	2374
71	184	2376
72	187	2377
73	189	2373
74	193	2381
75	195	2379
76	198	2380
77	200	2372
78	203	2373
79	206	2371
80	209	2371
81	211	2367
82	214	2367
83	216	2361
84	218	2356
85	221	2359
86	225	2367
87	228	2366
88	231	2369
89	233	2365
90	236	2366
91	240	2371
92	243	2375
93	246	2371
94	248	2371
95	251	2370
96	254	2370
97	258	2380
98	261	2377
99	263	2369
100	266	2370
101	267	2357
102	270	2353
103	272	2349
104	274	2337
105	276	2334
106	279	2332
107	283	2338
108	285	2337
109	288	2335
110	290	2325
111	293	2325
112	296	2326
113	299	2324
114	301	2322
115	304	2319
116	306	2311
117	309	2310
118	311	2308
119	314	2306
120	317	2304
121	318	2290
122	320	2286
123	323	2287
124	326	2286
125	329	2283
126	331	2281
127	334	2279
128	338	2282
129	340	2281
130	343	2281
131	347	2282
132	350	2284
133	352	2278
134	355	2279
135	359	2281
136	362	2284
137	366	2287
138	368	2281
139	371	2281
140	372	2270
141	375	2271
142	379	2274
143	382	2275
144	384	2267
145	387	2266
146	390	2267
147	394	2270
148	398	2273
149	400	2268
150	403	2265
151	405	2264
152	408	2260
153	411	2261
154	413	2252
155	416	2250
156	419	2252
157	422	2250
158	424	2247
159	427	2244
160	430	2241
161	432	2239
162	434	2232
163	437	2230
164	440	2228
165	443	2225
166	445	2222
167	448	2219
168	450	2214
169	453	2213
170	456	2213
171	459	2210
172	462	2212
173	465	2209
174	466	2201
175	469	2198
176	472	2198
177	475	2197
178	478	2194
179	481	2192
180	483	2189
181	487	2190
182	488	2181
183	491	2181
184	494	2178
185	496	2171
186	498	2167
187	500	2163
188	503	2160
189	506	2158
190	507	2151
191	510	2150
192	513	2148
193	516	2146
194	519	2144
195	522	2143
196	524	2138
197	527	2136
198	529	2133
199	533	2133
200	537	2138
201	541	2138
202	544	2138
203	547	2136
204	550	2136
205	553	2134
206	555	2127
207	559	2129
208	562	2127
209	565	2127
210	568	2126
211	571	2124
212	575	2126
213	579	2127
214	581	2123
215	584	2121
216	587	2120
217	590	2118
218	593	2116
219	595	2112
220	598	2110
221	600	2103
222	603	2102
223	606	2101
224	610	2101
225	613	2100
226	615	2097
227	619	2096
228	621	2094
229	625	2094
230	628	2090
231	631	2089
232	633	2084
233	636	2082
234	639	2083
235	642	2081
236	646	2082
237	649	2080
238	652	2077
239	655	2074
240	658	2072
241	660	2070
242	662	2063
243	665	2062
244	668	2058
245	671	2058
246	674	2056
247	677	2055
248	680	2051
249	684	2052
250	687	2051
251	690	2049
252	693	2046
253	696	2045
254	698	2042
255	701	2038
256	704	2037
257	707	2035
258	710	2032
259	713	2030
260	716	2027
261	718	2024
262	721	2022
263	724	2021
264	727	2018
265	730	2015
266	733	2013
267	736	2011
268	739	2008
269	741	2005
270	745	2004
271	747	2001
272	750	1998
273	753	1997
274	755	1992
275	758	1990
276	761	1988
277	764	1984
278	767	1982
279	769	1979
280	772	1976
281	775	1974
282	777	1971
283	780	1967
284	783	1965
285	786	1964
286	789	1960
287	792	1958
288	794	1955
289	797	1952
290	800	1949
291	803	1949
292	806	1946
293	810	1945
294	813	1942
295	816	1940
296	818	1938
297	821	1936
298	824	1933
299	827	1930
300	830	1928
301	833	1926
302	836	1923
303	839	1921
304	841	1918
305	844	1915
306	847	1913
307	850	1911
308	854	1910
309	858	1909
310	860	1906
311	863	1904
312	866	1901
313	869	1899
314	872	1897
315	874	1893
316	877	1890
317	880	1889
318	883	1886
319	886	1883
320	890	1882
321	892	1879
322	895	1876
323	898	1873
324	900	1870
325	903	1867
326	905	1863
327	908	1861
328	911	1858
329	914	1856
330	917	1854
331	920	1851
332	923	1849
333	926	1846
334	928	1843
335	931	1841
336	934	1838
337	937	1836
338	940	1833
339	943	1830
340	946	1828
341	949	1826
342	952	1823
343	954	1820
344	958	1819
345	961	1817
346	964	1815
347	967	1813
348	971	1811
349	973	1808
350	976	1806
351	979	1803
352	983	1803
353	986	1800
354	989	1798
355	992	1796
356	995	1793
357	998	1791
358	1001	1788
359	1004	1786
360	1007	1783
361	1010	1780
362	1013	1777
363	1016	1776
364	1019	1773
365	1022	1770
366	1025	1768
367	1027	1764
368	1030	1762
369	1033	1760
370	1037	1758
371	1039	1755
372	1042	1752
373	1045	1750
374	1049	1748
375	1052	1746
376	1055	1743
377	1057	1740
378	1060	1738
379	1063	1735
380	1066	1733
381	1069	1729
382	1072	1727
383	1075	1724
384	1077	1721
385	1081	1719
386	1084	1717
387	1087	1714
388	1089	1711
389	1092	1709
390	1096	1707
391	1098	1704
392	1101	1701
393	1104	1698
394	1107	1695
395	1110	1693
396	1113	1690
397	1116	1688
398	1119	1686
399	1122	1683
400	1125	1681
401	1128	1679
402	1132	1677
403	1135	1674
404	1137	1671
405	1140	1668
406	1143	1666
407	1146	1663
408	1149	1661
409	1152	1658
410	1156	1657
411	1159	1654
412	1162	1652
413	1166	1650
414	1168	1647
415	1171	1645
416	1174	1642
